Sl No ,NMDC CSR - Activity description ,Work Status ,Civil Worlks / Financial Assistance,Remarks (if any)
1,Construction of Community Hall at Patel Para Samalwar Bank (Indian Oversease),Completed,Civil Works,
2,"Construction of Anganwadi Centre with Kitchen Shed at Patel Para, Samalwar",Completed,Civil Works,
3,Const. of Boundary wall Samalwar Vichapara Anganwadi Centre,Not Started,Civil Works,
4,"Construction of CC Road from Panchayat Bhawan to Pujari House (approx. 200 Mtrs.), Samalwar",Completed,Civil Works,
5,"Construction of  Kitchen and Store at Anganwadi Vichha Para, Samalwar",Completed,Civil Works,
6,"Construction of 700 metres RCC Road from main road to AngaDev Worship area, Markamiras",Not Started,Civil Works,
7,"Construction of Additional Room at Middle School, Samalwar",Not Started,Civil Works,
8,"Construction of Anganwadi and Kitchen Shed at Awgatta Para, Sarnalwar",Not Started,Civil Works,
9,Construction of CC Road from Anganwadi Center to DevGudi Samalwar,Not Started,Civil Works,
10,Construction of Dome Shed for worship of AngaDev at Markamiras,Not Started,Civil Works,
11,"Construction of Additional Room at Middle School, Samalwar",Not Started,Civil Works,
12,"Construction of Boundary wall at Middle School, Samalwar",Not Started,Civil Works,
